,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
67,DIMITRYMAXIMOF1,,,1765,46,971,38,"Pushing #NeRF to avoid the uncanny valley? 🙂
InstantNGP with 50 full frame sharp images, then small supersampling using #AI 
@NYTimesRD @NVIDIAAIDev https://t.co/20kfVDN1Pv",['NeRF']
68,zeditip,"An #Marketing #Entusiast passionate about #Tech, #ArtificialIntelligence & #humanity. Hope to leave the world to a better place to live in.",,874,1542,268204,0,"O-Mail Top BEST Email for Privacy &amp; Security by ONPASSIVE💌
Enterprise Email Server for your Business Needs
Organizational Communication in a hassle-free manner
Know more about O-Mail
https://t.co/DgOmwoTY6U

#ONPASSIVE #OMail #earn #Business #AI #Technology #Network #I... https://t.co/Tuc7IMMsMH","['ONPASSIVE', 'OMail', 'earn', 'Business', 'AI', 'Technology', 'Network', 'I']"
69,KILABYTES,"OnChain AI Graffiti Artist
https://t.co/HMFUVzDuPD",All City,290,210,107,0,"Supreme Yemen #5

The Carlyle Group owns 50% of #Supreme. They profit from the Saudi Arabian–led #Yemen Civil War. 16-50k civilians were killed or injured in the war.

https://t.co/v30IPcyCH3

#Str4ngeThing @Str4ngeThing #YemenCantWait #AI #AIArt #NFT #Tezos #XTZ #NFTs #Objkt https://t.co/7Jt66t9A5h","['Supreme', 'Yemen', 'Str4ngeThing', 'YemenCantWait', 'AI', 'AIArt', 'NFT', 'Tezos', 'XTZ', 'NFTs', 'Objkt']"
70,Kimberl58845041,,,3,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
71,ArmandinaHolt13,,,3,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
72,EsanJerilyn,,,1,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
73,nsanames,"A new #NSA product name will be tweeted every minute, feel free to use them for your projects. This is purely for experimental purposes. Created by https://t.co/eJ0pyTwuQm",Inside your router,121,58,47509,0,🙋‍♂️ gleeroute #nsa #nationalsecurityagency #parody #ai #artificialintelligence,"['nsa', 'nationalsecurityagency', 'parody', 'ai', 'artificialintelligence']"
74,crridan220,,,1317,44,763,14,"I summoned a goddess for @WaifuXArt's #GoddessAIChallenge. Truthfully, I summoned hundreds of them, but this one is my fav so far.

#AIart #AI #stablediffusionart #WaifuDiffusion https://t.co/vz8RQEHzID",['GoddessAIChallenge']
75,SynthientArt,"🌽 artist         💎        AI        💎                                 
🤖 art connoisseur                   💎       glitch      💎
☂️ historic alfa hunt(é)r",Australia,685,228,1614,0,"Submission #13

Thanks @tferriss I've had a lot of fun with this @cockpunch #AI

A Prime Cleric, weapon; ""Storm Conjure"" https://t.co/z8xBFAfsgO",['AI']
76,DeaconHermine,,,3,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
77,AugmentedMan,"https://t.co/pK6dLI1A1M
The Power of Poetry
#thepowerofpoetry #augmentedman #artinDATAspace",,209,811,3777,0,"Welcome to #thepowerofpoetry
Aaraya Claims 
https://t.co/xOue1aumxg
#poem #art #love #trust #power #AIart #algorithm #poetry  #Writer #AI #VR #buymeacoffee #poetrycommunity #poetrytwitter #poesie #writing #networking #Coffee #CoffeeTime #friends #CoffeeLovers #poetrylovers #poe…","['thepowerofpoetry', 'poem', 'art', 'love', 'trust', 'power', 'AIart', 'algorithm', 'poetry', 'Writer', 'AI', 'VR', 'buymeacoffee', 'poetrycommunity', 'poetrytwitter', 'poesie', 'writing', 'networking', 'Coffee', 'CoffeeTime', 'friends', 'CoffeeLovers', 'poetrylovers', 'poe']"
78,BenfieldValeri,,,3,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
79,HoHoHo420Santa,🎄 🎁 parody and satire 🔥,North Pole ,950,2226,7274,1,I discovered the Loch Ness monster! He was having a beer at my local pub. #midjourney #AIart #AI #Art https://t.co/fAPaMlrZOS,"['midjourney', 'AIart', 'AI', 'Art']"
80,Lena29084603,,,4,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
81,RpatoolsC,"Official Account of https://t.co/6s6MecKtlc. Follow us for latest updates on #rpa , #ipa and #digitaltransformation.
Note: RTs are done via #RPA. No endorsement.",,31,901,69607,1,How Data Analytics Can Help Deliver Social Good #roboticsainews #ai #artificialintelligence #digitaltransformation #technology #futurework #engineering #automation https://t.co/1jASZc5DRm,"['roboticsainews', 'ai', 'artificialintelligence', 'digitaltransformation']"
82,ITmeekEngineer,BSc. Information Technology || DevOps Engineer || Solution Expert || Huge Data Enthusiast || Huge Fan of Astronomy || Azure Security Engineer,,1269,790,15281,27,"Top 10 skills of 2025

#ArtificialIntelligence #AI #ML #DataScience #DataScientists #CodeNewbies #Tech #deeplearning #CyberSecurity #Python #Coding  #javascript #rstats #100DaysOfCode #programming #Linux #IoT #IIoT #BigData https://t.co/3fwvQ9NvKl","['ArtificialIntelligence', 'AI', 'ML', 'DataScience', 'DataScientists', 'CodeNewbies', 'Tech', 'deeplearning']"
83,ai_paparazzi,#paparazzi capturing #exclusive images of #celebrities with artificial intelligence by @thedantheman,New York City,8,97,20220,0,Caught Edward Burns in Rome #paparazzi #ai #aipaparazzi @ai_paparazzi #TMZ #CelebNews #CelebWatch #exclusive #PerezHilton #famous https://t.co/H31AZXpACq,"['paparazzi', 'ai', 'aipaparazzi', 'TMZ', 'CelebNews', 'CelebWatch', 'exclusive', 'PerezHilton', 'famous']"
84,rosalyn_hogg,,,4,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
85,KILABYTES,"OnChain AI Graffiti Artist
https://t.co/HMFUVzDuPD",All City,290,210,107,0,"Supreme Yemen #1 

The Carlyle Group owns 50% of #Supreme. They profit from the Saudi Arabian–led #Yemen Civil War. 16-50k civilians were killed or injured in the war.

https://t.co/80mzH8rCIY

#Str4ngeThing @Str4ngeThing #YemenCantWait #AI #AIArt #NFT #Tezos #XTZ #NFTs #Objkt https://t.co/DxOIgAgxuf","['Supreme', 'Yemen', 'Str4ngeThing', 'YemenCantWait', 'AI', 'AIArt', 'NFT', 'Tezos', 'XTZ', 'NFTs', 'Objkt']"
86,2BRUKREW,The 2-BRU KREW are #Authors of Exciting #Westerns & Supernatural #books Avail on Amazon! https://t.co/LN7MZKcfCC & https://t.co/k4tAdwH5kt. Follows & RT's are not endorsements.,United States,4120,4079,26242,4,"Seeing Red is a visionary collection of #poetry that looks to our destiny and basks in the wonders of endless possibility. Experience this poignant selection of prose and imaginative imagery now. https://t.co/8pdCbcfTAD……
#technology  
#readers 
#poetry #AI 
#writersoftwitter https://t.co/4hcmkIkMug",['poetry']
87,SCRATCRYPT,SLBot 💡Make your telegram group much safer place!   https://t.co/biekiC7CgR,,90,32,3733,1,Our #ai is fully functional! It can interact with people. We keep building on #BSC #BSCGem #BSCGems #BNB #BNBChain #1000x #1000xgem #100x,"['ai', 'BSC', 'BSCGem', 'BSCGems', 'BNB', 'BNBChain', '1000x']"
88,bulbi59,"On connaît la misère et on en rit nous même ! Plus Rien ne m'étonne, jusqu'ici tout va bien ! Mes Tweets n'engagent que moi❣️Cédric 🐒 @BulbiT3ch - #Tech -",France,4654,1659,54180,146,"💥Here are 50+ #Blockchain Real World Use Cases👌

v/@BBNTimes_en
#Fintech #NFT #web3 #Metaverse #Tech #AI #DataScience #BigData #Analytics #innovation #digital #Python #Flutter #JavaScript #IoT #Bot #WomenInSTEM #MachineLearning #TensorFlow #Cloud #coding #100DaysOfCode #CES2023 https://t.co/ogupGTK449","['Blockchain', 'Fintech', 'NFT', 'web3', 'Metaverse', 'Tech', 'AI', 'DataScience']"
89,LarssonLavina,,,2,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
90,nsanames,"A new #NSA product name will be tweeted every minute, feel free to use them for your projects. This is purely for experimental purposes. Created by https://t.co/eJ0pyTwuQm",Inside your router,121,58,47509,0,🛀 squirrelwalk #nsa #nationalsecurityagency #parody #ai #artificialintelligence,"['nsa', 'nationalsecurityagency', 'parody', 'ai', 'artificialintelligence']"
91,richardkimphd,"News, papers, and books on AI, Machine Learning, Deep Learning, Image Recognition, Computer Vision, and Natural Language Processing",,4983,4488,125113,0,"10 #AI Predictions For 2023

@LindaGrass0 @ronald_vanloon @GlenGilmore @JimHarris @BetaMoroney @DrJDrooghaag @SpirosMargaris 

https://t.co/9Vr40iWL6F",['AI']
92,Deon53684835,,,3,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
93,LillyPotter38,"I like cats, music and programming. Not Related to Harry Potter.",Bulgaria,12,618,134,66,Ultimate HTML and CSS CheatSheet #MachineLearning #DataScience #SQL #Cybersecurity #BigData #Analytics #AI #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode #NodeJS… https://t.co/LRF6tITl4f,"['MachineLearning', 'DataScience', 'SQL', 'Cybersecurity', 'BigData', 'Analytics', 'AI', 'IIoT']"
94,SULAIMA51673204,"AYSİRA SATIŞ NOKTASI.             GELİNLİK ,NİŞANLIK,BİNDALLI.","Chicago, IL",0,0,14,85,"#Infographic: Here are the subsets of #ArtificialIntelligence!

#artificialintelligence #ai #machinelearning #technology #datascience #deeplearning #python https://t.co/sTXQld0MsZ","['Infographic', 'ArtificialIntelligence', 'artificialintelligence', 'ai', 'machinelearning', 'technology']"
95,RoboticsAINews,News aggregation service. Covering #robotics #artificialintelligence #virtualreality Anne Elvin (Founder) @ED_RoboAINews 🌈🤖🇦🇺 #robots #ai #ml #vr #ar,Australia,5065,5054,33307,1,How Data Analytics Can Help Deliver Social Good #roboticsainews #ai #artificialintelligence #digitaltransformation #technology #futurework #engineering #automation https://t.co/1jASZc5DRm,"['roboticsainews', 'ai', 'artificialintelligence', 'digitaltransformation', 'technology', 'futurework', 'engineering', 'automation']"
96,1000dayscodingb,I'm a BOT 🤖 created by #1000daysofcoding @snrelghtwt to love & support our amazing Global Developer Community on Twitter 💙,,1,727,68717,1,"Hire us for  online classes or research paper in. 
Physics
Fall classes 
English 
essaypay 
Maths
History
Assignments .
Nursing
Economics.
Biology paper
Paper writing
Psychology
Accounting
Quizzes.
Thesis
Dissertation
Report
#100DaysOfCode
#DataSecurity
#CyberSecurity
#AI https://t.co/P7eiMoYVfF",[]
97,nsanames,"A new #NSA product name will be tweeted every minute, feel free to use them for your projects. This is purely for experimental purposes. Created by https://t.co/eJ0pyTwuQm",Inside your router,121,58,47509,0,❌ setwhisper #nsa #nationalsecurityagency #parody #ai #artificialintelligence,"['nsa', 'nationalsecurityagency', 'parody', 'ai', 'artificialintelligence']"
98,Metaverseabc_,#Metaverseabc #metaverse #NFTs #web3 #blockchain #AR #VR #MX  #NFTCommunity #avatar #creativeeconomy solutions for #cities #citizens by @ztudium @citiesabc_,"London, England",208,42688,418,1,"What happens when an astrophysicist puts #AI #ChatGPT to the test?
 https://t.co/Ba3KaaLM8Q","['AI', 'ChatGPT']"
99,Gordidon,"Husband and Father, Tech and Sports. Writer/Creator of the ""Adventures of a System Admin"" the comic-book series. https://t.co/7yeeu00jPV",New York,443,439,25295,3,"[Inside #WAICF]

We are pleased to announce that @Smartcow_ai is our new Sponsor !✨

Who are they ? SmartCow is an #AI native company specialized in advanced video #analytics, applied AI, and electronics manufacturing 🕹️

👉 Meet them at #WAICF : https://t.co/5EPH7vPQWF https://t.co/egqU2rr7lV","['WAICF', 'AI']"
